datumAb	datumBis	turnierbezeichnung	ort	ausrichtenderVerein	veranstalter	onlineMeldungAb	onlineMeldungBis	altersklassen	stilarten	anmeldelink
29.08.2026	29.08.2026	Ladies Wrestling Tournament Switzerland	Etzelstrasse 1, 8840 Einsiedeln	RR Einsiedeln	Ostschweizer Ringerverband			Frauen, U11, U14, U17	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24372
29.08.2026	29.08.2026	4. Uwe Kunz Gedächtnisturnier 2026	Eppelborn	KSV Eppelborn	Saarland	01.12.2025	10.06.2026	U10, U12, U14, U8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24489
29.08.2026	29.08.2026	LM/NM Sandbryting 2026	Oslo	Lambertseter BK	Oslo Akershus BK			KG, KJ, SG15, SG17, SG2, SG20, SJ12, SJ15, SJ17, SSH, SSK	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24801
29.08.2026	29.08.2026	WESER POWER CUP	Achim	TSV Achim	Niedersachsen			C, C-Jugend (U10), D, E, WU9	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24803
29.08.2026	29.08.2026	Mustut Karikas 2026	Torma	Tartu maadleb	Estland			GR15, Kr-r 08-11, Kr-r 12-15, Kr-r 16-20, Naistem 09-15, Naistem 16-20, Vabam 08-11, Vabam 12-15	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25854
29.08.2026	29.08.2026	22. Rolandpokal Stendal	Stendal	RSV Stendal 07	LRV Sachsen-Anhalt			AJ, BJ, CJ, DJ, EJ	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/25862
04.09.2026	05.09.2026	43. Kalle Mäkinen tournament	Turku	Turun Voimamiehet TWM	Finnland			GR11, GR13, GR15, GR17, GR20, GR9, WW11, WW13, WW17, WW20, WW9	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24831
05.09.2026	05.09.2026	1. Alfred Tischendorf Gedenkturnier	Jena	KSC Motor Jena	Thüringen	31.05.2026	25.08.2026	U10, U12, U8, W-U12	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24802
05.09.2026	05.09.2026	Sparbanken Skåne Cup 2026	Hästveda	Hästveda BK	Skånes BF			GR11, GR13, GR15, GR17, GR20, GR9, WW11, WW13, WW15, WW17, WW23, WW9	Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25860
06.09.2026	06.09.2026	Test_2026	Helsingborg	HBK Bergania	Skånes BF			GR, WW9	Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24852
12.09.2026	12.09.2026	3. Aline Rotter Focken Turnier 2026	Gersweiler	RG Saarbrücken	Saarland			U11, U14, U17, U20	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24657
12.09.2026	12.09.2026	4. Erfurter Puffbohnen Turnier	99089 Erfurt	RSC Erfurt	Thüringen	05.03.2026	05.09.2026	U10, U12, U12-U8w, U14w, U8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24678
12.09.2026	12.09.2026	Luoman Cup	Ylistaro	Ylistaron Kilpa-Veljet	Finnland			AP, AT, P13, P15, P17, P9, PA, T13, T17, T9, TA, YO	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24849
12.09.2026	12.09.2026	Salikisat	Ylistaro	Ylistaron Kilpa-Veljet	Finnland			P, P17, P9, T, T17, YO	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24850
19.09.2026	19.09.2026	MDEM Gr. - röm.U 10 und U 12	14943 Luckenwalde	1. Luckenwalder SC	Brandenburg			U 10 GR, U 12 GR	Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24625
